initiator_role,metadata,app_version,initiator,session_id,ip_address,previous_hash,event_type,feature,action,user_agent,hash,status,id,created_date,updated_date,created_by_id,is_sample
"system","{""count"":500}","2025.5","System","sess_1771627142026_kizojxfhw","","","EXPORT_DATA","AuditLog","Exported audit logs","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Safari/605.1.15","227c2bee0a9e44a4e5375efafeec17956df3a64945fdff7c277fe073291546a4","SUCCESS","6998e4e3f816eba8f8ef66e8","2026-02-20T22:49:07.261000","2026-02-20T22:49:07.261000","68dbfcb329e82d13ee45e2a3","false"
"system","{""logs_loaded"":500}","2025.5","User","sess_1771625723161_brz8285ih","","a6df58670564ab969f26742bc898909b2ba5c94c2e16bef47f78a91db033d63e","FEATURE_ACCESS","AuditLog","Accessed AuditLog","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Safari/605.1.15","be6b2f0aa07d27709a2d8f2727342d100c5b55882ab116c6da750b278c890ec5","AUTHORIZED","6998e3cc19bbf38b120b7630","2026-02-20T22:44:28.049000","2026-02-20T22:44:28.049000","68dbfcb329e82d13ee45e2a3","false"
"system","{""logs_loaded"":500}","2025.5","User","sess_1771625723161_brz8285ih","","a6df58670564ab969f26742bc898909b2ba5c94c2e16bef47f78a91db033d63e","FEATURE_ACCESS","AuditLog","Accessed AuditLog","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Safari/605.1.15","9b2948c2dbb06f62f50aeb648fddee83d1af26233bda1c1359c673956d8d8536","AUTHORIZED","6998e3cb23334ae269da5752","2026-02-20T22:44:27.870000","2026-02-20T22:44:27.870000","68dbfcb329e82d13ee45e2a3","false"
"system","{""logs_loaded"":500}","2025.5","User","sess_1771625723161_brz8285ih","","a6df58670564ab969f26742bc898909b2ba5c94c2e16bef47f78a91db033d63e","FEATURE_ACCESS","AuditLog","Accessed AuditLog","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Safari/605.1.15","625e014f10d140747c716e2715136a98be272b998b0712e6a59ffc743111ef7d","AUTHORIZED","6998e3cb4b38bb8c80db5904","2026-02-20T22:44:27.669000","2026-02-20T22:44:27.669000","68dbfcb329e82d13ee45e2a3","false"
"system","{""logs_loaded"":500}","2025.5","User","sess_1771625723161_brz8285ih","","ea417bd16dfd3e76356cc98056d7ff4f68f1effc7a2130d3e5a3d4c8129446a7","FEATURE_ACCESS","AuditLog","Accessed AuditLog","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Safari/605.1.15","a6df58670564ab969f26742bc898909b2ba5c94c2e16bef47f78a91db033d63e","AUTHORIZED","6998e3cbf4d6608b6d99f673","2026-02-20T22:44:27.474000","2026-02-20T22:44:27.474000","68dbfcb329e82d13ee45e2a3","false"
"system","{""logs_loaded"":500}","2025.5","User","sess_1771625723161_brz8285ih","","ea417bd16dfd3e76356cc98056d7ff4f68f1effc7a2130d3e5a3d4c8129446a7","FEATURE_ACCESS","AuditLog","Accessed AuditLog","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Safari/605.1.15","d3a4544a98caa475bec5101396c0b150d5e3283b6b6f8d1fa8a8f179c8ff8eeb","AUTHORIZED","6998e3cbebbb43abb6533069","2026-02-20T22:44:27.064000","2026-02-20T22:44:27.064000","68dbfcb329e82d13ee45e2a3","false"
"system","{""logs_loaded"":500}","2025.5","User","sess_1771625723161_brz8285ih","","ea417bd16dfd3e76356cc98056d7ff4f68f1effc7a2130d3e5a3d4c8129446a7","FEATURE_ACCESS","AuditLog","Accessed AuditLog","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Safari/605.1.15","39fdc2bd5a5cf9b634d51093d75062dae180dcb027e4d59178a4b7af363abeda","AUTHORIZED","6998e3cab83c52cd1f567276","2026-02-20T22:44:26.895000","2026-02-20T22:44:26.895000","68dbfcb329e82d13ee45e2a3","false"
"system","{""logs_loaded"":500}","2025.5","User","sess_1771625723161_brz8285ih","","ea417bd16dfd3e76356cc98056d7ff4f68f1effc7a2130d3e5a3d4c8129446a7","FEATURE_ACCESS","AuditLog","Accessed AuditLog","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Safari/605.1.15","5d229316dfa511732804e7a8a870b958f879e539b6fa6eef3bfecb9c4ebcd1b1","AUTHORIZED","6998e3cafa2e4a241f4979d0","2026-02-20T22:44:26.616000","2026-02-20T22:44:26.616000","68dbfcb329e82d13ee45e2a3","false"
"system","{""logs_loaded"":500}","2025.5","User","sess_1771625723161_brz8285ih","","ea417bd16dfd3e76356cc98056d7ff4f68f1effc7a2130d3e5a3d4c8129446a7","FEATURE_ACCESS","AuditLog","Accessed AuditLog","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Safari/605.1.15","2a48e08872af5a517422c060dc12e8ce93bcc478eabaec1ceb03c1481cabf5ff","AUTHORIZED","6998e3c979c7fe35489ace05","2026-02-20T22:44:25.991000","2026-02-20T22:44:25.991000","68dbfcb329e82d13ee45e2a3","false"
"system","{""logs_loaded"":500}","2025.5","User","sess_1771625723161_brz8285ih","","ea417bd16dfd3e76356cc98056d7ff4f68f1effc7a2130d3e5a3d4c8129446a7","FEATURE_ACCESS","AuditLog","Accessed AuditLog","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Safari/605.1.15","11a4685fd527f260c5b302713e74cf1fc3ba4cbbee51f6a1f94a2709ddc2f730","AUTHORIZED","6998e3c9159f90bb247c3906","2026-02-20T22:44:25.808000","2026-02-20T22:44:25.808000","68dbfcb329e82d13ee45e2a3","false"
"system","{""logs_loaded"":500}","2025.5","User","sess_1771625723161_brz8285ih","","ea417bd16dfd3e76356cc98056d7ff4f68f1effc7a2130d3e5a3d4c8129446a7","FEATURE_ACCESS","AuditLog","Accessed AuditLog","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Safari/605.1.15","6697ecbd0d1e2a41979775e2b69bf73908e97fcc355274ab72b1022328944131","AUTHORIZED","6998e3c92877c333757871cd","2026-02-20T22:44:25.617000","2026-02-20T22:44:25.617000","68dbfcb329e82d13ee45e2a3","false"
"system","{""logs_loaded"":500}","2025.5","User","sess_1771625723161_brz8285ih","","ea417bd16dfd3e76356cc98056d7ff4f68f1effc7a2130d3e5a3d4c8129446a7","FEATURE_ACCESS","AuditLog","Accessed AuditLog","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Safari/605.1.15","dc66565ae28fdb5bdbb6fba33ae7b80decff08eb4bb0fdb8c95ac1b8bf696c8a","AUTHORIZED","6998e3c9c0a6f2d5f8bf2116","2026-02-20T22:44:25.358000","2026-02-20T22:44:25.358000","68dbfcb329e82d13ee45e2a3","false"
"system","{""logs_loaded"":500}","2025.5","User","sess_1771625723161_brz8285ih","","ea417bd16dfd3e76356cc98056d7ff4f68f1effc7a2130d3e5a3d4c8129446a7","FEATURE_ACCESS","AuditLog","Accessed AuditLog","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Safari/605.1.15","be3b66790b680a38c3eb7a1209761768658b96aac453d61853fbcd6285580a1b","AUTHORIZED","6998e3c888f51f1a94f9fd96","2026-02-20T22:44:24.996000","2026-02-20T22:44:24.996000","68dbfcb329e82d13ee45e2a3","false"
"system","{""logs_loaded"":500}","2025.5","User","sess_1771625723161_brz8285ih","","ea417bd16dfd3e76356cc98056d7ff4f68f1effc7a2130d3e5a3d4c8129446a7","FEATURE_ACCESS","AuditLog","Accessed AuditLog","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Safari/605.1.15","d939db4d4b8e1ff18024827a6439e8f727f143c5f4b20f36451f3793b606a6c5","AUTHORIZED","6998e3c8790d453ec1058766","2026-02-20T22:44:24.527000","2026-02-20T22:44:24.527000","68dbfcb329e82d13ee45e2a3","false"
"system","{""logs_loaded"":500}","2025.5","User","sess_1771625723161_brz8285ih","","ea417bd16dfd3e76356cc98056d7ff4f68f1effc7a2130d3e5a3d4c8129446a7","FEATURE_ACCESS","AuditLog","Accessed AuditLog","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Safari/605.1.15","36dc096e8dbcaf1100054ea7157327f6cb91caf12b7d1097e4f59a7da5044022","AUTHORIZED","6998e3c7a36ed8d927a2e912","2026-02-20T22:44:23.812000","2026-02-20T22:44:23.812000","68dbfcb329e82d13ee45e2a3","false"
"system","{""logs_loaded"":500}","2025.5","User","sess_1771625723161_brz8285ih","","ea417bd16dfd3e76356cc98056d7ff4f68f1effc7a2130d3e5a3d4c8129446a7","FEATURE_ACCESS","AuditLog","Accessed AuditLog","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Safari/605.1.15","417af9650b5f9bc2f11e323275de97ac8cb205f5e13af7eb89d2d3f07749e713","AUTHORIZED","6998e3c7b17848de9be91316","2026-02-20T22:44:23.494000","2026-02-20T22:44:23.494000","68dbfcb329e82d13ee45e2a3","false"
"system","{""logs_loaded"":500}","2025.5","User","sess_1771625723161_brz8285ih","","ea417bd16dfd3e76356cc98056d7ff4f68f1effc7a2130d3e5a3d4c8129446a7","FEATURE_ACCESS","AuditLog","Accessed AuditLog","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Safari/605.1.15","e5ff95cb57118cd14e6598d4df0b2d4938335e3b6602b6788619846e00131a30","AUTHORIZED","6998e3c619bbf38b120b762c","2026-02-20T22:44:22.889000","2026-02-20T22:44:22.889000","68dbfcb329e82d13ee45e2a3","false"
"system","{""logs_loaded"":500}","2025.5","User","sess_1771625723161_brz8285ih","","ea417bd16dfd3e76356cc98056d7ff4f68f1effc7a2130d3e5a3d4c8129446a7","FEATURE_ACCESS","AuditLog","Accessed AuditLog","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Safari/605.1.15","078c9677a7f1c36270ccb8d8c070ae58a1d2ac1af63f599b1d82e99e3e27bdfe","AUTHORIZED","6998e3c616a725a2e874bf06","2026-02-20T22:44:22.590000","2026-02-20T22:44:22.590000","68dbfcb329e82d13ee45e2a3","false"
"system","{""logs_loaded"":500}","2025.5","User","sess_1771625723161_brz8285ih","","ea417bd16dfd3e76356cc98056d7ff4f68f1effc7a2130d3e5a3d4c8129446a7","FEATURE_ACCESS","AuditLog","Accessed AuditLog","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Safari/605.1.15","b63468f8eb85735ca1442de8bc5de5d101e6dc9061f8253b609abd17969ca0e1","AUTHORIZED","6998e3c6874f02267e047a34","2026-02-20T22:44:22.186000","2026-02-20T22:44:22.186000","68dbfcb329e82d13ee45e2a3","false"
