avatar_name,scene_context,facial_features,body_type,hairstyle,clothing,accessories,ai_suggestions,is_favorite,tags,id,created_date,updated_date,created_by_id,is_sample
"PIXELYNX_1763212989305","general","{""face_shape"":""angular"",""eye_size"":0.7999999893666558,""eye_color"":""#48D1CC"",""nose_size"":0.699050015373316,""mouth_size"":0.7381439663843348,""skin_tone"":""#FFF5E1""}","{""height"":2.049999709010824,""build"":""curvy"",""proportions"":{""torso_length"":1.0799999999999996,""arm_length"":1.049999997450204,""leg_length"":1.08}}","{""style"":""natural_afro"",""color"":""#000000"",""texture"":""coily""}","{""top"":""blazer"",""bottom"":""leggings"",""color_scheme"":[""#FF0000"",""#0000FF""],""texture_pattern"":""solid""}","[""glasses"",""hat""]","","false","[]","69187ebda28926db703b108c","2025-11-15T13:23:09.573000","2025-11-15T13:23:09.573000","68dbfcb329e82d13ee45e2a3","false"
"PIXELYNX_1763212391076","general","{""face_shape"":""angular"",""eye_size"":0.7999999999999997,""eye_color"":""#778899"",""nose_size"":0.7,""mouth_size"":0.75,""skin_tone"":""#2C1608""}","{""height"":2.049999999929113,""build"":""curvy"",""proportions"":{""torso_length"":1.08,""arm_length"":1.05,""leg_length"":1.08}}","{""style"":""natural_afro"",""color"":""#F5F5F5"",""texture"":""coily""}","{""top"":""crop_top"",""bottom"":""leggings"",""color_scheme"":[""#FF0000"",""#0000FF""],""texture_pattern"":""solid""}","[""glasses"",""hat""]","","false","[]","69187c67cf259e86bbedc6fa","2025-11-15T13:13:11.388000","2025-11-15T13:13:11.388000","68dbfcb329e82d13ee45e2a3","false"
"PIXELYNX_1763210640866","general","{""face_shape"":""oval"",""eye_size"":0.7999993062511774,""eye_color"":""#48D1CC"",""nose_size"":0.6894137719678292,""mouth_size"":0.6790804927624641,""skin_tone"":""#2C1608""}","{""height"":2.0498727279528572,""build"":""curvy"",""proportions"":{""torso_length"":1.08,""arm_length"":1.05,""leg_length"":1.0799999749983624}}","{""style"":""natural_afro"",""color"":""#000000"",""texture"":""straight""}","{""top"":""crop_top"",""bottom"":""leggings"",""color_scheme"":[""#FF0000"",""#0000FF""],""texture_pattern"":""solid""}","[""glasses"",""hat"",""watch""]","","false","[]","691875917f642581fa1ea065","2025-11-15T12:44:01.246000","2025-11-15T12:44:01.246000","68dbfcb329e82d13ee45e2a3","false"
"PIXELYNX_1763200497269","general","{""face_shape"":""angular"",""eye_size"":0.7999999999999999,""eye_color"":""#48D1CC"",""nose_size"":0.7,""mouth_size"":0.7419624365252253,""skin_tone"":""#2C1608""}","{""height"":2.0499999928944157,""build"":""average"",""proportions"":{""torso_length"":1.08,""arm_length"":1.05,""leg_length"":1.079981624642343}}","{""style"":""natural_afro"",""color"":""#000000"",""texture"":""coily""}","{""top"":""crop_top"",""bottom"":""leggings"",""color_scheme"":[""#FF0000"",""#0000FF""],""texture_pattern"":""solid""}","[""glasses"",""hat"",""watch""]","","false","[]","69184df1a053bd176d67671b","2025-11-15T09:54:57.525000","2025-11-15T09:54:57.525000","68dbfcb329e82d13ee45e2a3","false"
"PIXELYNX_1763200397219","general","{""face_shape"":""angular"",""eye_size"":0.8,""eye_color"":""#48D1CC"",""nose_size"":0.7,""mouth_size"":0.7402555500251485,""skin_tone"":""#FFF5E1""}","{""height"":1.8233514523790735,""build"":""curvy"",""proportions"":{""torso_length"":1.038730471910298,""arm_length"":1.05,""leg_length"":1.0799999990118554}}","{""style"":""natural_afro"",""color"":""#000000"",""texture"":""coily""}","{""top"":""tshirt"",""bottom"":""jeans"",""color_scheme"":[""#FF0000"",""#0000FF""],""texture_pattern"":""solid""}","[""glasses"",""hat"",""watch""]","","false","[]","69184d8d6340eb52b9a7e7cf","2025-11-15T09:53:17.589000","2025-11-15T09:53:17.589000","68dbfcb329e82d13ee45e2a3","false"
"PIXELYNX_1763198675656","general","{""face_shape"":""angular"",""eye_size"":0.7999811397282939,""eye_color"":""#48D1CC"",""nose_size"":0.6999999602425568,""mouth_size"":0.75,""skin_tone"":""#2C1608""}","{""height"":2.0500000000000003,""build"":""average"",""proportions"":{""torso_length"":1.0799964425433093,""arm_length"":1.0499999999999816,""leg_length"":1.0799999999988488}}","{""style"":""short"",""color"":""#F5F5F5"",""texture"":""coily""}","{""top"":""crop_top"",""bottom"":""leggings"",""color_scheme"":[""#FF0000"",""#0000FF""],""texture_pattern"":""solid""}","[""glasses"",""hat""]","","false","[]","691846d3ccbae9bf7cf90cbc","2025-11-15T09:24:35.854000","2025-11-15T09:24:35.854000","68dbfcb329e82d13ee45e2a3","false"
"PIXELYNX_1763198673064","general","{""face_shape"":""angular"",""eye_size"":0.7999999999998966,""eye_color"":""#48D1CC"",""nose_size"":0.699999999942753,""mouth_size"":0.7499999999992668,""skin_tone"":""#FFF5E1""}","{""height"":2.049999999974818,""build"":""curvy"",""proportions"":{""torso_length"":1.079999999986057,""arm_length"":1.0499990225605798,""leg_length"":1.0799999976126653}}","{""style"":""natural_afro"",""color"":""#000000"",""texture"":""coily""}","{""top"":""crop_top"",""bottom"":""leggings"",""color_scheme"":[""#FF0000"",""#0000FF""],""texture_pattern"":""solid""}","[""glasses"",""hat"",""watch""]","","false","[]","691846d10fa1efb7600b3789","2025-11-15T09:24:33.271000","2025-11-15T09:24:33.271000","68dbfcb329e82d13ee45e2a3","false"
"PIXELYNX_1763198415630","general","{""face_shape"":""angular"",""eye_size"":0.8,""eye_color"":""#48D1CC"",""nose_size"":0.6999995422752118,""mouth_size"":0.75,""skin_tone"":""#2C1608""}","{""height"":2.0500000000000003,""build"":""curvy"",""proportions"":{""torso_length"":1.0799999999999987,""arm_length"":1.0499995304444765,""leg_length"":1.0798689351290167}}","{""style"":""short"",""color"":""#F5F5F5"",""texture"":""straight""}","{""top"":""tshirt"",""bottom"":""jeans"",""color_scheme"":[""#FF0000"",""#0000FF""],""texture_pattern"":""solid""}","[""glasses"",""hat"",""bracelet""]","","false","[]","691845cffa58509df2fae14a","2025-11-15T09:20:15.834000","2025-11-15T09:20:15.834000","68dbfcb329e82d13ee45e2a3","false"
"PIXELYNX_1763198380245","general","{""face_shape"":""angular"",""eye_size"":0.7999999999998882,""eye_color"":""#48D1CC"",""nose_size"":0.6999999989311355,""mouth_size"":0.6588499646256883,""skin_tone"":""#2C1608""}","{""height"":2.0480495056535575,""build"":""curvy"",""proportions"":{""torso_length"":1.0799999999999648,""arm_length"":1.0420141167511774,""leg_length"":1.079999999999997}}","{""style"":""natural_afro"",""color"":""#000000"",""texture"":""coily""}","{""top"":""crop_top"",""bottom"":""leggings"",""color_scheme"":[""#FF0000"",""#0000FF""],""texture_pattern"":""solid""}","[""glasses"",""hat"",""bracelet""]","","false","[]","691845acc11acaae952cc6dc","2025-11-15T09:19:40.473000","2025-11-15T09:19:40.473000","68dbfcb329e82d13ee45e2a3","false"
"PIXELYNX_1763198367311","general","{""face_shape"":""angular"",""eye_size"":0.7999966683373256,""eye_color"":""#48D1CC"",""nose_size"":0.7,""mouth_size"":0.75,""skin_tone"":""#2C1608""}","{""height"":2.0499946341519752,""build"":""curvy"",""proportions"":{""torso_length"":1.0799999999999796,""arm_length"":1.0499991534605804,""leg_length"":1.0799007848842737}}","{""style"":""natural_afro"",""color"":""#F5F5F5"",""texture"":""kinky""}","{""top"":""tshirt"",""bottom"":""leggings"",""color_scheme"":[""#FF0000"",""#0000FF""],""texture_pattern"":""solid""}","[""glasses"",""hat"",""watch""]","","false","[]","6918459f0fa1efb7600b36f8","2025-11-15T09:19:27.518000","2025-11-15T09:19:27.518000","68dbfcb329e82d13ee45e2a3","false"
"PIXELYNX_1763198367053","general","{""face_shape"":""angular"",""eye_size"":0.7999999999998314,""eye_color"":""#2E5090"",""nose_size"":0.6999999999999998,""mouth_size"":0.7499422922986673,""skin_tone"":""#2C1608""}","{""height"":2.049999999852729,""build"":""curvy"",""proportions"":{""torso_length"":1.079999228347311,""arm_length"":1.0499990249221312,""leg_length"":1.079999982629573}}","{""style"":""natural_afro"",""color"":""#F5F5F5"",""texture"":""straight""}","{""top"":""crop_top"",""bottom"":""jeans"",""color_scheme"":[""#FF0000"",""#0000FF""],""texture_pattern"":""solid""}","[""glasses"",""hat""]","","false","[]","6918459fb8b67d9e8058fbc7","2025-11-15T09:19:27.280000","2025-11-15T09:19:27.280000","68dbfcb329e82d13ee45e2a3","false"
"PIXELYNX_1763198365006","general","{""face_shape"":""oval"",""eye_size"":0.8,""eye_color"":""#48D1CC"",""nose_size"":0.6999999999997254,""mouth_size"":0.7499998515121179,""skin_tone"":""#FFF5E1""}","{""height"":2.0499983300360274,""build"":""curvy"",""proportions"":{""torso_length"":1.08,""arm_length"":1.0499999952956007,""leg_length"":1.0799923343185946}}","{""style"":""short"",""color"":""#F5F5F5"",""texture"":""coily""}","{""top"":""crop_top"",""bottom"":""jeans"",""color_scheme"":[""#FF0000"",""#0000FF""],""texture_pattern"":""solid""}","[""glasses"",""hat""]","","false","[]","6918459da74a30ab1e5e709b","2025-11-15T09:19:25.187000","2025-11-15T09:19:25.187000","68dbfcb329e82d13ee45e2a3","false"
