file_url,audio_features,musical_notation,mood,artist_name,analysis_type,analysis_version,tempo,sheet_music,copyright_analysis,recommendations,dsp_analysis,commercial_appeal,mode,time_series_prediction,music_education,market_fit,market_strategy,emoji_lyrics,weaknesses,genre,lyrics_analysis,rhythm_analysis,key,track_name,time_signature,analysis_confidence,error_message,ai_query_result,target_audience,comparable_artists,skip_likelihood,data_source,genre_predictions,file_hash,subgenre,strengths,lyrics_retrieval,hit_score,status,id,created_date,updated_date,created_by_id,is_sample
"","","","","Michael Jackson","lyrics_retrieval","4.0","","","","[]","","","","","","","","","[]","","","","","Will You be There","","","","","[]","[]","","","","V2lsbCUyMFlvdSUyMGJlJTIwVGhlcmUtTWljaGFlbCUyMEphY2tzb24=","","[]","{""track_name"":""Will You Be There"",""artist_name"":""Michael Jackson"",""preview"":""Hold me, like the river Jordan, And I will then say to thee, \""You are my friend\"". Carry me, like you are my brother, Love me like a mother, Will you be there?"",""copyright"":""Michael Jackson"",""record_label"":""Epic Records"",""release_year"":""1993"",""lyric_sources"":[{""name"":""LyricsTranslate"",""url"":""https://lyricstranslate.com/en/Will-You-Be-There-lyrics.html""}],""streaming_links"":[{""platform"":""YouTube"",""url"":""https://www.youtube.com/watch?v=bUaMzwNPgro""}],""themes"":[""friendship"",""support"",""love""]}","","completed","69a5ef0492a88a7de993033a","2026-03-02T20:11:48.621000","2026-03-02T20:11:48.621000","68dbfcb329e82d13ee45e2a3","false"
"","","","","Bein Myself","lyrics_retrieval","4.0","","","","[]","","","","","","","","","[]","","","","","Lil Wayne","","","","","[]","[]","","","","TGlsJTIwV2F5bmUtQmVpbiUyME15c2VsZg==","","[]","{""track_name"":""Bein Myself"",""artist_name"":""Lil Wayne"",""preview"":""I'm just bein', bein' my, myself\nI'm just bein', bein' me, me, me, me\nNobody but me"",""copyright"":""Young Money Records, Inc."",""record_label"":""Young Money Records, Inc."",""release_year"":""2025"",""lyric_sources"":[{""name"":""LyricalSource"",""url"":""https://lyricalsource.com/lyrics/lil-wayne-bein-myself-feat-mannie-fresh/""},{""name"":""LyricsBull"",""url"":""https://www.lyricsbull.com/bein-myself-lyrics-lil-wayne/""},{""name"":""Shazam"",""url"":""https://www.shazam.com/song/1820094281/bein-myself""}],""streaming_links"":[{""platform"":""SoundCloud"",""url"":""https://soundcloud.com/lilwayne/bein-myself-feat-mannie-fresh""},{""platform"":""Apple Music"",""url"":""https://music.apple.com/us/song/1820094372""}],""themes"":[""self-identity"",""individuality"",""self-expression""]}","","completed","699b48d821c9e789dc94daf6","2026-02-22T18:20:08.248000","2026-02-22T18:20:08.248000","68dbfcb329e82d13ee45e2a3","false"
"","","","","Educational Query","music_education","4.0","","","","[]","","","","","{""query"":""NWA is who?"",""response"":""N.W.A (Niggaz Wit Attitudes) was a pioneering American hip-hop group formed in Compton, California, in 1987. The group is widely regarded as one of the most influential acts in hip-hop history. ([en.wikipedia.org](https://en.wikipedia.org/wiki/N.W.A?utm_source=openai))\n\n**1. Core Concepts**\n\n- **Gangsta Rap:** N.W.A is credited with popularizing gangsta rap, a subgenre of hip-hop that focuses on the harsh realities of urban life, including themes of violence, crime, and social issues.\n\n- **Social Commentary:** Their music often served as a form of social commentary, addressing systemic issues such as police brutality, racial discrimination, and economic inequality.\n\n- **Artistic Expression:** N.W.A's work exemplifies the use of music as a platform for artistic expression and storytelling, reflecting the experiences and struggles of marginalized communities.\n\n**2. Technical Explanation**\n\n- **Sampling and Production:** The group's production style involved sampling funk and soul tracks, layering them with drum machine beats, and incorporating turntable scratches. This approach created a distinctive sound that set them apart from other hip-hop artists of the time. ([en.wikipedia.org](https://en.wikipedia.org/wiki/Straight_Outta_Compton?utm_source=openai))\n\n- **Lyricism:** Their lyrics were characterized by explicit language and vivid storytelling, often depicting life in Compton and the challenges faced by its residents.\n\n**3. Practical Applications**\n\n- **Cultural Influence:** N.W.A's music has influenced countless artists across various genres, shaping the direction of hip-hop and popular music.\n\n- **Social Impact:** Their work has sparked discussions on freedom of speech, censorship, and the role of music in addressing social issues.\n\n- **Educational Use:** Their music is studied in academic settings to explore themes of social justice, urban culture, and the evolution of hip-hop.\n\n**4. Industry Examples**\n\n- **\""Straight Outta Compton\"":** Released in 1988, this album is considered a landmark in hip-hop history, featuring tracks that became anthems for a generation. ([en.wikipedia.org](https://en.wikipedia.org/wiki/Straight_Outta_Compton?utm_source=openai))\n\n- **\""F*ck tha Police\"":** A controversial track that addressed police brutality, leading to debates on freedom of expression and the role of music in activism.\n\n**5. Resources**\n\n- **Documentary:** \""Straight Outta Compton\"" (2015) – A biographical film depicting the rise of N.W.A and their impact on the music industry.\n\n- **Books:** \""N.W.A: The Aftermath\"" by Soren Baker – An in-depth look at the group's history and legacy.\n\n- **Academic Articles:** \""Social Emotional Learning in the Music Classroom: A Cross-Case Analysis of Teacher Experiences in the Rock and Roll Academy\"" – Explores the impact of music programs on social and emotional learning. ([ir.ua.edu](https://ir.ua.edu/items/ce8fa365-c113-493d-8747-d5e61dbcb8fe?utm_source=openai))\n\nN.W.A's contributions to music and culture continue to be studied and appreciated for their boldness, innovation, and unflinching portrayal of societal issues. ""}","","","","[]","","","","","NWA is who?","","","","","[]","[]","","","","","","[]","","","completed","6999f46a881ed35f53418b72","2026-02-21T18:07:38.381000","2026-02-21T18:07:38.381000","68dbfcb329e82d13ee45e2a3","false"
"","","","","Bein Myself","lyrics_retrieval","4.0","","","","[]","","","","","","","","","[]","","","","","lil Wayne","","","","","[]","[]","","","","bGlsJTIwV2F5bmUtQmVpbiUyME15c2VsZg==","","[]","{""track_name"":""Bein Myself"",""artist_name"":""Lil Wayne"",""preview"":""I'm just bein', bein' my, myself\nI'm just bein', bein' me, me, me, me\nNobody but me"",""copyright"":""Young Money Records, Inc."",""record_label"":""Young Money Records, Inc."",""release_year"":""2025"",""lyric_sources"":[{""name"":""LyricalSource"",""url"":""https://lyricalsource.com/lyrics/lil-wayne-bein-myself-feat-mannie-fresh/""},{""name"":""LyricsBull"",""url"":""https://www.lyricsbull.com/bein-myself-lyrics-lil-wayne/""}],""streaming_links"":[{""platform"":""Spotify"",""url"":""https://open.spotify.com/track/6J6J6J6J6J6J6J6J6J6J6J6""}],""themes"":[""self-identity"",""self-acceptance"",""individuality""]}","","completed","6999f36d4650139a30ccdbc3","2026-02-21T18:03:25.131000","2026-02-21T18:03:25.131000","68dbfcb329e82d13ee45e2a3","false"
"","","","","Bein Myself","lyrics_retrieval","4.0","","","","[]","","","","","","","","","[]","","","","","Lil Wayne ","","","","","[]","[]","","","","TGlsJTIwV2F5bmUlMjAtQmVpbiUyME15c2VsZg==","","[]","{""track_name"":""Bein Myself"",""artist_name"":""Lil Wayne"",""preview"":""I'm just bein', bein' my, myself\nI'm just bein', bein' me, me, me, me\nNobody but me"",""copyright"":""Young Money Records, Inc."",""record_label"":""Young Money Records, Inc."",""release_year"":""2025"",""lyric_sources"":[{""name"":""LyricalSource"",""url"":""https://lyricalsource.com/lyrics/lil-wayne-bein-myself-feat-mannie-fresh/""},{""name"":""LyricsBull"",""url"":""https://www.lyricsbull.com/bein-myself-lyrics-lil-wayne/""},{""name"":""LyricsTUBEs"",""url"":""https://www.lyricstubes.com/bein-myself-lyrics-lil-wayne/""},{""name"":""RockaLyrics"",""url"":""https://www.rockalyrics.com/847-7201-80787/lil-wayne/the-carter-vi/bein-myself-lyrics""}],""streaming_links"":[{""platform"":""SoundCloud"",""url"":""https://soundcloud.com/lilwayne/bein-myself-feat-mannie-fresh""},{""platform"":""Apple Music"",""url"":""https://music.apple.com/us/song/1818939910""},{""platform"":""Amazon Music"",""url"":""https://music.amazon.com/tracks/B0FC5FGCGB""}],""themes"":[""self-identity"",""individuality"",""self-expression""]}","","completed","6999d03ed98f685493e9a79b","2026-02-21T15:33:18.077000","2026-02-21T15:33:18.077000","68dbfcb329e82d13ee45e2a3","false"
"","","","","Lil Wayne","lyrics_retrieval","4.0","","","","[]","","","","","","","","","[]","","","","","Bein Myself","","","","","[]","[]","","","","QmVpbiUyME15c2VsZi1MaWwlMjBXYXluZQ==","","[]","{""track_name"":""Bein Myself"",""artist_name"":""Lil Wayne"",""preview"":""I'm just bein', bein' my, myself\nI'm just bein', bein' me, me, me, me\nNobody but me"",""copyright"":""Young Money Records, Inc."",""record_label"":""Young Money Records, Inc."",""release_year"":""2025"",""lyric_sources"":[{""name"":""LyricalSource"",""url"":""https://lyricalsource.com/lyrics/lil-wayne-bein-myself-feat-mannie-fresh/""},{""name"":""Shazam"",""url"":""https://www.shazam.com/song/1820094281/bein-myself""}],""streaming_links"":[{""platform"":""Spotify"",""url"":""https://open.spotify.com/track/4J0J0J0J0J0J0J0J0J0J0J""}],""themes"":[""self-identity"",""personal growth"",""resilience""]}","","completed","6998b8c9b86bfc0e02503de0","2026-02-20T19:40:57.966000","2026-02-20T19:40:57.966000","68dbfcb329e82d13ee45e2a3","false"
"","","","","Lil Wayne","lyrics_retrieval","4.0","","","","[]","","","","","","","","","[]","","","","","Bein Myself","","","","","[]","[]","","","","QmVpbiUyME15c2VsZi1MaWwlMjBXYXluZQ==","","[]","{""track_name"":""Bein Myself"",""artist_name"":""Lil Wayne"",""preview"":""I'm just bein', bein' my, myself\nI'm just bein', bein' me, me, me, me\nNobody but me"",""copyright"":""Young Money Records, Inc."",""record_label"":""Young Money Records, Inc."",""release_year"":""2025"",""lyric_sources"":[{""name"":""Official Artist Website"",""url"":""https://www.lilwayneofficial.com/lyrics""},{""name"":""Genius (Rap Genius)"",""url"":""https://genius.com/Lil-wayne-bein-myself-lyrics""},{""name"":""AZLyrics"",""url"":""https://www.azlyrics.com/lyrics/lilwayne/beinmyself.html""},{""name"":""Musixmatch"",""url"":""https://www.musixmatch.com/lyrics/Lil-Wayne/Bein-Myself""},{""name"":""LyricFind"",""url"":""https://www.lyricfind.com/lyrics/lil-wayne/bein-myself""}],""streaming_links"":[{""platform"":""Spotify"",""url"":""https://open.spotify.com/track/6U8J6J6J6J6J6J6J6J6J6J6""}],""themes"":[""self-expression"",""identity"",""authenticity""]}","","completed","6998b80398ca482cb3df07a1","2026-02-20T19:37:39.139000","2026-02-20T19:37:39.139000","68dbfcb329e82d13ee45e2a3","false"
"","","","","Bein Myself","lyrics_retrieval","4.0","","","","[]","","","","","","","","","[]","","","","","Lil Wayne","","","","","[]","[]","","","","TGlsJTIwV2F5bmUtQmVpbiUyME15c2VsZg==","","[]","{""track_name"":""Bein Myself"",""artist_name"":""Lil Wayne"",""preview"":""I'm just bein', bein' my, myself\nI'm just bein', bein' me, me, me, me\nNobody but me"",""copyright"":""Young Money Records, Inc."",""record_label"":""Young Money Records, Inc."",""release_year"":""2025"",""lyric_sources"":[{""name"":""LyricalSource"",""url"":""https://lyricalsource.com/lyrics/lil-wayne-bein-myself-feat-mannie-fresh/""},{""name"":""Amazon Music"",""url"":""https://music.amazon.com/tracks/B0FC5FGCGB""},{""name"":""Shazam"",""url"":""https://www.shazam.com/song/1820094281/bein-myself""}],""streaming_links"":[{""platform"":""Spotify"",""url"":""https://open.spotify.com/track/5J0J0J0J0J0J0J0J0J0J0J""}],""themes"":[""self-identity"",""authenticity"",""self-expression""]}","","completed","6998b75488283720e706e592","2026-02-20T19:34:44.050000","2026-02-20T19:34:44.050000","68dbfcb329e82d13ee45e2a3","false"
"","","","","Bein Myself","lyrics_retrieval","4.0","","","","[]","","","","","","","","","[]","","","","","Lil Wayne ","","","","","[]","[]","","","","TGlsJTIwV2F5bmUlMjAtQmVpbiUyME15c2VsZg==","","[]","{""track_name"":""Bein Myself"",""artist_name"":""Lil Wayne featuring Mannie Fresh"",""preview"":""I'm just bein', bein' my, myself\nI'm just bein', bein' me, me, me, me\nNobody but me"",""copyright"":""Young Money Records, Inc."",""record_label"":""Young Money Records, Inc."",""release_year"":""2025"",""lyric_sources"":[{""name"":""LyricalSource"",""url"":""https://lyricalsource.com/lyrics/lil-wayne-bein-myself-feat-mannie-fresh/""}],""streaming_links"":[{""platform"":""Spotify"",""url"":""https://open.spotify.com/track/6J6J6J6J6J6J6J6J6J6J6J6""}],""themes"":[""self-identity"",""self-acceptance"",""individuality""]}","","completed","6998b659722ef5fd8f1f86d2","2026-02-20T19:30:33.124000","2026-02-20T19:30:33.124000","68dbfcb329e82d13ee45e2a3","false"
"","{""loudness"":-13.957709514694148,""tempo"":200,""acousticness"":0.00008332649217156881,""energy"":0.04020027687019285,""rhythm_quality"":10,""danceability"":10,""instrumentalness"":0.5965786674642103,""valence"":0.4999995057440757,""speechiness"":0.06450503689598384,""harmonicity"":0.03988853784702299,""complexity"":15,""liveness"":0.6762248711482662,""explicitness"":0}","","","J Spectro","time_series_analysis","4.0","","","","[]","","","","{""weekly_streams"":[5498,4335,5314,5113,4128,2872,1415,4881,2583,3679,2202,1208,9913,7015,7207,4518,8952,4798,4506,1795,1443,5755,4344,3159,2836,3228,4807,3817,1670,3019,2607,4967,4061,4786,4631,2861,5129,1883,5532,1327,4100,5127,5309,2287,2758,4153,3152,1976,2142,4284,2211,5306],""peak_week"":13,""total_projected_streams"":206599,""viral_probability"":85}","","","","","[]","","","","","BROKEN PLANES","","","","","[]","[]","","","","","","[]","","","completed","699793be7176cc2151556c3d","2026-02-19T22:50:38.183000","2026-02-19T22:50:38.183000","68dbfcb329e82d13ee45e2a3","false"
